University,Location,GradeA,GradeB,GradeC,GradeD,GradeE,Quota,EntranceExam,Majors
វិទ្យាស្ថានជាតិបណ្តុះបណ្តាលបច្ចេកទេស - National Institute of Technical Training (NITT),Phnom Penh,0,0,0,0,0,0,No,Electricity|Mechanics|Electronics|Information Technology
វិទ្យាស្ថានជាតិកសិកម្ម ព្រែកលៀប - Prek Leap National Institute of Agriculture,Phnom Penh,80,60,0,0,0,55,No,Agronomy and Soil Science|Horticulture|Forestry|Fisheries|Environmental Science|Veterinary Medicine|Animal Production and Health|Agricultural Extension and Rural Development|Agricultural Economics and Business|Agricultural and Food Political Economics|Food Processing Science|Nutrition and Health
សាកលវិទ្យាល័យធនធានមនុស្ស - Human Resources University (HRU),Phnom Penh,75,50,0,0,0,40,No,Accounting|Management|Marketing|Digital Business|Hotel and Tourism|Banking and Finance|Real Estate Management|Economic Development|English Education|English for Communication|International Relations|Computer Engineering|Computer Science|Computer Programming|Law|Public Law|Public Administration
វិទ្យាស្ថានអាស៊ី កម្ពុជា - Asia Institute Cambodia,Phnom Penh,100,80,50,50,0,92,Yes,Law|Public Administration|Accounting|Banking and Finance|Marketing
បណ្ឌិត្យសភាបច្ចេកវិទ្យាឌីជីថលកម្ពុជា (CADT) - Cambodia Academy of Digital Technology,Phnom Penh,0,0,0,0,0,0,No,
វិទ្យាស្ថានខេមអេដ - CamEd Business School,Phnom Penh,100,85,0,0,0,108,No,
វិទ្យាស្ថានជាតិអប់រំ - National Institute of Education (NIE),Phnom Penh,100,75,40,40,0,84,No,
សាកលវិទ្យាល័យគ្រប់គ្រងអាស៊ីបូព៌ាសាកលវិទ្យាល័យ - East Asia Management University (EAMU),Phnom Penh,100,80,50,20,0,102,No,Information Technology|Accounting|IT
សាកលវិទ្យាល័យវិទ្យាសាស្រ្តសុខាភិបាល - University of Health Sciences (UHS),Phnom Penh,70,50,0,0,0,45,No,
សាកលវិទ្យាល័យបៀលប្រាយ - Build Bright University (BBU),Phnom Penh,100,85,0,0,0,120,No,
សាកលវិទ្យាល័យវេស្ទើន - Western University,Phnom Penh,100,80,50,20,20,114,Yes,
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (បន្ទាយមានជ័យ) - Cambodia University of Specialties (Banteay Meanchey),Banteay Meanchey,95,75,0,0,0,90,Yes,Management|Marketing|Accounting|International Business|International Trade|Tourism|Banking|Economics|Khmer Literature|English|Law|Information Technology
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច (បន្ទាយមានជ័យ) - University of Management and Economics (UME),Banteay Meanchey,100,80,0,0,0,85,No,Economics|English|Banking and Finance
សាកលវិទ្យាល័យជាតិមានជ័យ - Meanchey National University (MNU),Banteay Meanchey,100,70,40,20,0,110,No,Information Technology| IT|Agriculture|Nursing|Entrepreneurship and Business Management
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (បាត់ដំបង) - Cambodia University of Specialties (Battambang),Battambang,0,0,0,0,0,0,Yes,Management|Marketing|Accounting|International Business|International Trade|Tourism|Banking|Economics|Khmer Literature|English|Law|Information Technology
ពុទ្ធិកសាកលវិទ្យាល័យព្រះសីហនុរាជ (បាត់ដំបង) - Preah Sihanouk Raja Buddhist University (Battambang),Battambang,90,75,0,0,0,72,No,Law|Educational Administration|General Management|Khmer|English|Pali
សាកលវិទ្យាល័យជាតិបាត់ដំបង - National University of Battambang (NUBB),Battambang,100,80,40,0,0,98,No,French|Psychology|Aquaculture Technology|Thai|International Business and Supply Chain Management|Business Management
សាកលវិទ្យាល័យអន្តរជាតិ ឌូវី - Dewey International University (DIU),Battambang,100,80,0,0,0,105,No,English|Information System Development|Management|Economics|Marketing|Banking|Accounting|Tourism|Law|Public Administration
